<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
SPFB.RTS;5;20131108;100000;144950.0000000;145000.0000000;144540.0000000;144670.0000000;27993
SPFB.RTS;5;20131108;100500;144650.0000000;144690.0000000;144330.0000000;144390.0000000;22271
SPFB.RTS;5;20131108;101000;144390.0000000;144410.0000000;144260.0000000;144350.0000000;17928
SPFB.RTS;5;20131108;101500;144360.0000000;144420.0000000;144270.0000000;144420.0000000;7504
SPFB.RTS;5;20131108;102000;144420.0000000;144420.0000000;144310.0000000;144340.0000000;7311
SPFB.RTS;5;20131108;102500;144350.0000000;144440.0000000;144210.0000000;144410.0000000;11114
SPFB.RTS;5;20131108;103000;144400.0000000;144410.0000000;144330.0000000;144330.0000000;3008
SPFB.RTS;5;20131108;103500;144330.0000000;144400.0000000;144320.0000000;144380.0000000;2000
SPFB.RTS;5;20131108;104000;144380.0000000;144390.0000000;144220.0000000;144260.0000000;5088
SPFB.RTS;5;20131108;104500;144270.0000000;144290.0000000;144100.0000000;144140.0000000;16335
SPFB.RTS;5;20131108;105000;144130.0000000;144270.0000000;144060.0000000;144180.0000000;12841
SPFB.RTS;5;20131108;105500;144180.0000000;144420.0000000;144170.0000000;144400.0000000;9615
SPFB.RTS;5;20131108;110000;144400.0000000;144440.0000000;144300.0000000;144400.0000000;6174
SPFB.RTS;5;20131108;110500;144400.0000000;144420.0000000;144330.0000000;144390.0000000;4281
SPFB.RTS;5;20131108;111000;144390.0000000;144630.0000000;144390.0000000;144590.0000000;15683
SPFB.RTS;5;20131108;111500;144570.0000000;144620.0000000;144480.0000000;144530.0000000;3972
SPFB.RTS;5;20131108;112000;144530.0000000;144540.0000000;144460.0000000;144490.0000000;2517
SPFB.RTS;5;20131108;112500;144490.0000000;144500.0000000;144320.0000000;144330.0000000;6983
SPFB.RTS;5;20131108;113000;144340.0000000;144430.0000000;144330.0000000;144380.0000000;3711
SPFB.RTS;5;20131108;113500;144380.0000000;144470.0000000;144340.0000000;144440.0000000;3238
SPFB.RTS;5;20131108;114000;144460.0000000;144530.0000000;144430.0000000;144480.0000000;2028
SPFB.RTS;5;20131108;114500;144490.0000000;144500.0000000;144360.0000000;144420.0000000;4579
SPFB.RTS;5;20131108;115000;144420.0000000;144440.0000000;144360.0000000;144380.0000000;2130
SPFB.RTS;5;20131108;115500;144370.0000000;144420.0000000;144360.0000000;144400.0000000;1814
SPFB.RTS;5;20131108;120000;144400.0000000;144500.0000000;144350.0000000;144410.0000000;5715
SPFB.RTS;5;20131108;120500;144410.0000000;144510.0000000;144370.0000000;144410.0000000;3785
SPFB.RTS;5;20131108;121000;144400.0000000;144410.0000000;144230.0000000;144360.0000000;6464
